Context0,Context1,Context2,Context3,Context4,Source0,Source1,Source2,Source3,Source4,Topic,PlayerChoice
Bicycle/4eb478ec0835cfdd.jpg,Bicycle/020feca9b536f1fe.jpg,Balloon/8ff25f5ccc3b7717.jpg,Cake/429a17e931a48e84.jpg,Ball/978502eef1aa0d13.jpg,Bicycle helmet/a7fa2eca5a25af76.jpg,Computer monitor/1f5cf6e96f0e0690.jpg,Bicycle helmet/0721a8637777a826.jpg,Airplane/0a4abf0a8071b917.jpg,Airplane/6fa1d2c9152bf37f.jpg,0,0
Airplane/0a4abf0a8071b917.jpg,Bowl/0d1c49afcf00e948.jpg,Airplane/6fa1d2c9152bf37f.jpg,Alarm clock/46a0cd25a1f06d65.jpg,Apple/69f3f3889793e68e.jpg,Bowl/9f26942709846de3.jpg,Bicycle helmet/a7fa2eca5a25af76.jpg,Bowl/da95f58bf0813d29.jpg,Bicycle helmet/0721a8637777a826.jpg,Bicycle/4eb478ec0835cfdd.jpg,0,0
Human body/d50b0457d9624258.jpg,Musical instrument/afe96a54fe0610cd.jpg,Dog/c7a81616ee618ccd.jpg,Rifle/24a5c73ad828580e.jpg,Man/fa96d52b52a1ff28.jpg,Man/200907829e4fbe95.jpg,Musical keyboard/5e6b55b7203464b5.jpg,Television/84a1048891bb636c.jpg,Land vehicle/731f10ee0e1d6b70.jpg,Vehicle/7c6e8d04b6e52053.jpg,0,0
Food/0bfcd180b1d67f94.jpg,Man/fa96d52b52a1ff28.jpg,Human body/d50b0457d9624258.jpg,Television/84a1048891bb636c.jpg,Vehicle/7c6e8d04b6e52053.jpg,Dog/c7a81616ee618ccd.jpg,Rifle/24a5c73ad828580e.jpg,Man/200907829e4fbe95.jpg,Giraffe/2647aeeff6ef00be.jpg,Land vehicle/731f10ee0e1d6b70.jpg,0,0
Muffin/966ca10a7907662a.jpg,Musical keyboard/0bff5d8cb2c2a2c9.jpg,Musical instrument/39f032086de8375a.jpg,Musical instrument/ffb2640fb0b5a865.jpg,Musical instrument/ceda9adb4e88fc8e.jpg,Musical instrument/5a31c61d001558c3.jpg,Musical keyboard/0e160088b30f6234.jpg,Musical instrument/7f467f785446806d.jpg,Musical instrument/c929dbfa9cb5aa18.jpg,Musical instrument/2eaca36ed49515ca.jpg,0,0
Human body/9eaffa603797e2dd.jpg,Tree/7fa8b4a5f88946e4.jpg,Bottle/2c9817c8076a3fd4.jpg,Beer/e1b4b8f660967a1a.jpg,Dog/04a27da7e880ddcd.jpg,Dog/7cc816e323d254a0.jpg,Giraffe/2647aeeff6ef00be.jpg,Bottle/966d44c47effc043.jpg,Bottle/7e2afdc21926bd14.jpg,Dog/000c4d66ce89aa69.jpg,0,0
Unknown/1ee37d95b6c9a487.jpg,Car/0b75807d9dc2f283.jpg,Dog/7cc816e323d254a0.jpg,Ice cream/75161733278e50d9.jpg,Woman/3c678dab48dd6191.jpg,Car/0c2db401e7e5bf89.jpg,Car/0c9f9b713f229fba.jpg,Human body/9eaffa603797e2dd.jpg,Tree/7fa8b4a5f88946e4.jpg,Dog/04a27da7e880ddcd.jpg,0,0
Unknown/5c4658dfb87ef8bf.jpg,Car/0c9f9b713f229fba.jpg,Human body/a013282071756b84.jpg,Human body/3529ed57057b4d08.jpg,Human body/e2eb9b5eca496b1e.jpg,Human body/983255791f113009.jpg,Human body/7772aaad3a1b72cc.jpg,Human body/ada6444710b9b1c4.jpg,Human body/3680bce5527b2efe.jpg,Human body/4097eda463e6631c.jpg,0,0
Human body/9efc246660ca5253.jpg,Television/84a1048891bb636c.jpg,Land vehicle/731f10ee0e1d6b70.jpg,Human body/3097b67f07b8f8e8.jpg,Apple/69f3f3889793e68e.jpg,Organ (Musical Instrument)/72ac183680821ed4.jpg,Human body/1806f5b35279d7a5.jpg,Human body/973c75e13ab55347.jpg,Human body/969af219a0438f06.jpg,Human body/434166afed88f797.jpg,0,0
Computer monitor/1f8d2f13a6cd1206.jpg,Human body/9efc246660ca5253.jpg,Television/84a1048891bb636c.jpg,Land vehicle/731f10ee0e1d6b70.jpg,Human body/3097b67f07b8f8e8.jpg,Apple/69f3f3889793e68e.jpg,Organ (Musical Instrument)/72ac183680821ed4.jpg,Human body/1806f5b35279d7a5.jpg,Human body/973c75e13ab55347.jpg,Human body/969af219a0438f06.jpg,0,0
Building/0c5458ea3583233b.jpg,Human body/a3ede9354b3f5cd5.jpg,Human body/76571813b79399e5.jpg,Human body/3097b67f07b8f8e8.jpg,Ice cream/75161733278e50d9.jpg,Human body/68b5e7af876a3062.jpg,Human body/434166afed88f797.jpg,Human body/226f45719bfa23b3.jpg,Human body/1806f5b35279d7a5.jpg,Unknown/1ee37d95b6c9a487.jpg,0,0
